Valeurs min et max par colonne et par fichier

          min          max                  column                         file
 0.000000e+00 9.490000e+01      saturated-fat_100g chunk_23_filtered_part_0.csv
 0.000000e+00 6.260000e+02      carbohydrates_100g chunk_23_filtered_part_0.csv
 0.000000e+00 5.550000e+02             sugars_100g chunk_23_filtered_part_0.csv
 0.000000e+00 1.000000e+02           proteins_100g chunk_23_filtered_part_0.csv
 0.000000e+00 1.460000e+02               salt_100g chunk_23_filtered_part_0.csv
 0.000000e+00 5.820000e+01             sodium_100g chunk_23_filtered_part_0.csv
 1.337551e+09 1.729205e+09               created_t chunk_11_filtered_part_0.csv
 1.429868e+09 1.729456e+09         last_modified_t chunk_11_filtered_part_0.csv
 1.707523e+09 1.729456e+09          last_updated_t chunk_11_filtered_part_0.csv
-1.400000e+01 3.400000e+01        nutriscore_score chunk_11_filtered_part_0.csv
 3.000000e-01 1.100000e+00            completeness chunk_11_filtered_part_0.csv
 1.337551e+09 1.729453e+09            last_image_t chunk_11_filtered_part_0.csv
 0.000000e+00 9.000000e+02        energy-kcal_100g chunk_11_filtered_part_0.csv
 0.000000e+00 3.863000e+03             energy_100g chunk_11_filtered_part_0.csv
 0.000000e+00 1.000000e+02                fat_100g chunk_11_filtered_part_0.csv
 0.000000e+00 9.400000e+01      saturated-fat_100g chunk_11_filtered_part_0.csv
 0.000000e+00 1.000000e+02      carbohydrates_100g chunk_11_filtered_part_0.csv
 0.000000e+00 1.000000e+02             sugars_100g chunk_11_filtered_part_0.csv
 0.000000e+00 5.790000e+02           proteins_100g chunk_11_filtered_part_0.csv
 0.000000e+00 7.750000e+01               salt_100g chunk_11_filtered_part_0.csv
 0.000000e+00 3.100000e+01             sodium_100g chunk_11_filtered_part_0.csv
 1.332268e+09 1.728364e+09               created_t chunk_16_filtered_part_0.csv
 1.487503e+09 1.729473e+09         last_modified_t chunk_16_filtered_part_0.csv
 1.705496e+09 1.729473e+09          last_updated_t chunk_16_filtered_part_0.csv
-1.300000e+01 3.700000e+01        nutriscore_score chunk_16_filtered_part_0.csv
-2.000000e+01 1.230000e+02          ecoscore_score chunk_16_filtered_part_0.csv
 3.000000e-01 1.100000e+00            completeness chunk_16_filtered_part_0.csv
 1.332279e+09 1.729408e+09            last_image_t chunk_16_filtered_part_0.csv
 0.000000e+00 1.228000e+03        energy-kcal_100g chunk_16_filtered_part_0.csv
 0.000000e+00 5.138000e+03             energy_100g chunk_16_filtered_part_0.csv
 0.000000e+00 1.000000e+02                fat_100g chunk_16_filtered_part_0.csv
 0.000000e+00 9.390000e+01      saturated-fat_100g chunk_16_filtered_part_0.csv
 0.000000e+00 1.000000e+02      carbohydrates_100g chunk_16_filtered_part_0.csv
 0.000000e+00 1.000000e+02             sugars_100g chunk_16_filtered_part_0.csv
 0.000000e+00 8.570000e+01           proteins_100g chunk_16_filtered_part_0.csv
 0.000000e+00 9.900000e+01               salt_100g chunk_16_filtered_part_0.csv
 0.000000e+00 3.960000e+01             sodium_100g chunk_16_filtered_part_0.csv
 3.565467e+07 3.587070e+17                    code chunk_17_filtered_part_0.csv
 1.332021e+09 1.728818e+09               created_t chunk_17_filtered_part_0.csv
 1.468866e+09 1.729454e+09         last_modified_t chunk_17_filtered_part_0.csv
 1.706866e+09 1.729454e+09          last_updated_t chunk_17_filtered_part_0.csv
